Número Licitação;Número Processo;Objeto;Modalidade Compra;Situação Licitação;Código Órgão Superior;Nome Órgão Superior;Código Órgão;Nome Órgão;Código UG;Nome UG;Município;Data Resultado Compra;Data Abertura; Valor Licitação 
22019;22019;Objeto: Aquisição de token para certificado digital;Dispensa de Licitação;Encerrado;52000;Ministério da Defesa;52121;Comando do Exército;160277;31 GRUPO DE ARTILHARIA DE CAMPANHA (ES);RIO DE JANEIRO;17/01/2019;;R$ 1.149
22019;22019;Objeto: Aquisição de serviço de fornecimento e intalação.;Dispensa de Licitação;Publicado;52000;Ministério da Defesa;52121;Comando do Exército;160376;1 REGIMENTO DE CAVALARIA MECANIZADO;ITAQUI;30/01/2019;;R$ 57.748
22019;2,30E+13;Objeto: Contratação de empresa para prestação de serviços referentes ao fornecimento de energia elétrica para este Instituto, durante o exercício de 2019.;Dispensa de Licitação;Revogação;26000;Ministério da Educação;26404;Instituto Federal Baiano;155891;3NST.FED.BAIANO / CAMPUS ALAGOINHAS;ALAGOINHAS;25/01/2019;;R$ 10.500
22019;2,30E+16;Objeto: Contratação de Empresa Especializada em Treinamento de Liderança formato in company para os gestores do HU-UFGD.;Inexigibilidade de Licitação;Publicado;26000;Ministério da Educação;26350;Fundação Universidade Federal da Grande Doura;150248;HOSPITAL UNIVERSITARIO (HU/UFGD);DOURADOS;21/01/2019;;R$ 44.000
22019;2,30E+15;Objeto: Pagamento de ISBNs para livros publicados pela Editora da UFGD, referente ao ano de 2019, para a Agência Brasileira do ISBN   Fundação Miguel de Cervantes.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26350;Fundação Universidade Federal da Grande Doura;154502;FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS;DOURADOS;09/01/2019;;R$ 400
22019;2,30E+16;Objeto: Pagamento de locação de espaço para participação da Editora UFABC na II Feira do Livro da UNESP.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26352;Fundação Universidade Federal do ABC;154503;FUNDACAO UNIVERSIDADE FEDERAL DO ABC;SANTO ANDRE;30/01/2019;;R$ 1.600
22019;2,30E+16;Objeto: Regularização da documentação dos veículos oficiais de placa JLI-5070 e JRF-3910.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26351;Universidade Federal do Recôncavo da Bahia;158092;UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA;CRUZ DAS ALMAS;21/01/2019;;R$ 760
22019;2,30E+16;Objeto: Contratação de empresa especializada para confecção de chaves, modelagens e demais serviços de chaveiro para a Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - CAPES, em todas as suas dependências.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26291;Fundação Coordenação de Aperfeiçoamento de Pe;154003;FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR;BRASILIA;28/01/2019;;R$ 7.600
22019;2,31E+16;Objeto: Serviço de divulgação processo seletivo subsequente 2019 do Instituto Federal do Pará Campus Conceição do Araguaia, conforme itens termo de referência anexo em processo.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26416;Instituto Federal do Pará;158509;INST.FED.DO PARÁ/CAMPUS CONCEIC. DO ARAGUAIA;CONCEICAO DO ARAGUAIA;16/01/2019;;R$ 5.820
22019;2,31E+16;Objeto: Despesa com publicação de matérias no Diário Oficial para o IFPA 2019.;Inexigibilidade de Licitação;Publicado;26000;Ministério da Educação;26416;Instituto Federal do Pará;158135;INST.FED.DE EDUC.,CIENC.E TEC.DO PARA;BELEM;28/01/2019;;R$ 250.000
22019;2,31E+16;Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços de Administração, Gerenciamento e Controle da Frota deste Campus.;Pregão - Registro de Preço;Publicado;26000;Ministério da Educação;26416;Instituto Federal do Pará;158481;INST.FED.DO PARA/CAMPUS TUCURUI;TUCURUI;30/01/2019;29/01/2019;R$ 23.625
22019;2,31E+16;Objeto: Aquisição de material de consumo para manutenção de backup dos serviços na garantia de manutenção dos seviços disponibilizados pelo IFPA a toda comunidade.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26416;Instituto Federal do Pará;158135;INST.FED.DE EDUC.,CIENC.E TEC.DO PARA;BELEM;17/01/2019;;R$ 7.000
22019;2,31E+16;Objeto: Serviço de fornecimento de energia elétrica - Exercício 2019 - COMPANHIA ENERGÉTICA DO PIAUÍ - para atender aos Campi do IFPI - Dirceu e José de Freitas.;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26431;Instituto Federal do Piauí;158353;INST. FED. PIAUÍ/CAMPUS TERESINA CENTRAL;TERESINA;29/01/2019;;R$ 72.000
22019;23062014848/18-24;Objeto: Projeto de extensão -  Curso de Pós-Graduação Lato Sensu em Desenvolvimento de Sistemas   Turma 2019 .;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26257;Centro Federal de Educação Tecnológica de Min;153015;CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MG;BELO HORIZONTE;21/01/2019;;R$ 127.914
22019;2,31E+16;Objeto: Inscrição leandro garret;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26256;Centro Federal de Educação Tecnológica Celso ;153010;CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA;RIO DE JANEIRO;31/01/2019;;R$ 3.790
22019;2,31E+16;Objeto: Papel off set 66 x 96 cm,gramatura 180g/m³, cor branco,pacotes 125 folhas;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26256;Centro Federal de Educação Tecnológica Celso ;153010;CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA;RIO DE JANEIRO;29/01/2019;24/01/2019;R$ 11.830
22019;2,31E+16;Objeto: MELHORIAS na DRENAGEM SUPERFICIAL DE ÁGUAS PLUVIAIS NOS BLOCOS A E B;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26258;Universidade Tecnológica Federal do Paraná;153176;UTFPR - CAMPUS CORNELIO PROCOPIO;CORNELIO PROCOPIO;17/01/2019;;R$ 2.193
22019;2,31E+16;Objeto: Contratação de palestrante para capacitação de professores.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26258;Universidade Tecnológica Federal do Paraná;150148;UTFPR - CAMPUS LONDRINA;LONDRINA;28/01/2019;;R$ 4.361
22019;2,31E+16;Objeto: Contratação da FUNTEF LD para oferta do Curso de Especialização em Internet das Coisas, conforme Resolução nº 004-18.;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26258;Universidade Tecnológica Federal do Paraná;152134;UTFPR - CAMPUS GUARAPUAVA;GUARAPUAVA;21/01/2019;;R$ 268.255
22019;2,31E+16;Objeto: Dispensa de licitação para aquisição de seringas de 20ml e de 50ml Luer Lock, compatível com as bombas infusoras   perfusor Space da B Braun utilizadas na MCO.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26232;Universidade Federal da Bahia;150223;MATERNIDADE CLIMERIO DE OLIVEIRA;SALVADOR;22/01/2019;;R$ 17.010
22019;23066003673/19-71;Objeto: Dispensa de Licitação nº 02/2019, para contratação de empresa especializada em locação de caminhão guindaste e serviço de poda de arvore, no valor de R$ 2.800,00, para atender as necessidades do ICS/UFBA.;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26232;Universidade Federal da Bahia;150247;COMPLEXO HOSPITALAR E DE SAUDE DA UFBA;SALVADOR;24/01/2019;;R$ 2.800
22019;2,31E+16;Objeto: Serviços de manutenção (mensal), suporte técnico, desenvolvimento por pontos de função e treinamentos para o 'sistema de informação para o ensino (sie)' (sob demanda);Inexigibilidade de Licitação;Evento de Retificação Publicad;26000;Ministério da Educação;26234;Universidade Federal do Espírito Santo;153046;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;VITORIA;10/01/2019;;R$ 655.900
22019;2,31E+16;Objeto: Contratação de manutenção de equipamento de pesquisa.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26234;Universidade Federal do Espírito Santo;153046;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;VITORIA;11/01/2019;;R$ 11.635
22019;2,31E+16;Objeto: Contratação emergencial para manutenção elétrica do campus da Praia Vermelha.;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26236;Universidade Federal Fluminense;150182;PRO-REITORIA DE ADMINISTRACAO/UFF;NITEROI;17/01/2019;;R$ 32.415
22019;2,31E+16;Objeto: Apoio ao Projeto de Especialização em Comunicações -Turma 2019.Custo Operacional R$107.800,00;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26236;Universidade Federal Fluminense;150123;COORD. DE PROJ. C/A FUND. DE APOIO;NITEROI;15/01/2019;;R$ 1.078.000
22019;2,31E+16;Objeto: Alças de polipectomia por colonoscopia 230 cm, aberturas média e grande, não autoclavável, de preferência hexagonal.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26236;Universidade Federal Fluminense;153057;HOSPITAL UNIVERSITARIO ANTONIO PEDRO;NITEROI;10/01/2019;03/01/2019;R$ 10.197
22019;2,31E+16;Objeto: Contrato UFG/FUNAPE.;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26235;Universidade Federal de Goiás;153052;UNIVERSIDADE FEDERAL DE GOIAS;GOIANIA;18/01/2019;;R$ 1.088.000
22019;2,31E+16;Objeto: PARTICIPAÇÃO EXCLUSIVA ME/EPP - Essa cotação é de participação exclusiva de microempresas e de pequeno porte em atendimento ao decreto 8.538/2015.  Aquisição de material farmacológico (item 1- Cefepime 2 g solução injetável frasco-ampola).;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26235;Universidade Federal de Goiás;153054;HOSPITAL DAS CLINICAS DA UFGO;GOIANIA;30/01/2019;18/01/2019;R$ 13.487
22019;2,31E+16;Objeto: Locação de 08 (oito) caçambas para retirada de materiais como madeira, entulho e outros, nas dependências do Anexo IV do Departamento de Química e no Prédio Principal do Instituto de Ciências Exatas da UFMG.;Dispensa de Licitação;Revogação;26000;Ministério da Educação;26238;Universidade Federal de Minas Gerais;153292;INSTITUTO DE CIENCIAS EXATAS/UFMG;BELO HORIZONTE;21/01/2019;;R$ 1.400
22019;2,31E+16;Objeto: Material de Proteção e Segurança;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26238;Universidade Federal de Minas Gerais;153273;PRO-REITORIA DE PESQUISA/UFMG;BELO HORIZONTE;22/01/2019;;R$ 690
22019;2,31E+16;Objeto: Dedetização da Escola de Música e CMI.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26238;Universidade Federal de Minas Gerais;153281;ESCOLA DE MUSICA/UFMG;BELO HORIZONTE;29/01/2019;;R$ 400
22019;2,31E+16;Objeto: Aquisição de serviços de manutenção corretiva em máquinas de datilografia, fabricante IBM, modelo 82, patrimônio nº 297321 e nº 270245, pertencentes à Imprensa Universitária da Universidade Federal de Minas Gerais.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26238;Universidade Federal de Minas Gerais;153262;IMPRENSA UNIVERSITARIA/UFMG;BELO HORIZONTE;28/01/2019;;R$ 792
22019;2,31E+16;Objeto: Gás comprimido - CO2 - cilindro de 25 KG, utilizado para realizar eutanásia em roedores de laboratório - Biotério FAFAR;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26238;Universidade Federal de Minas Gerais;153286;FACULDADE DE FARMACIA/UFMG;BELO HORIZONTE;30/01/2019;;R$ 450
22019;2,31E+16;Objeto: Serviços de armazenagem e capatazia de bens de origem estrangeira - Centro de Estudos do Mar.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26241;Universidade Federal do Paraná;153079;UNIVERSIDADE FEDERAL DO PARANA;CURITIBA;23/01/2019;;R$ 2.000
22019;2,31E+16;Objeto: Serviço de confecção de placas de sinalização de segurança a serem instaladas no Ginásio I, com fornecimento de material, para a Superintendência de Infraestrutura - INFRA/UFRN.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26243;Universidade Federal do Rio Grande do Norte;153103;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;NATAL;21/01/2019;;R$ 3.038
22019;2,31E+16;Objeto: Aquisição da Fundação para apoiar a realização do projeto 'Winter School on Global South 2019'.;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26244;Universidade Federal do Rio Grande do Sul;153114;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PORTO ALEGRE;08/01/2019;;R$ 60.000
22019;2,31E+16;Objeto: Pagamento das Anotações de Responsabilidade Técnicas (ARTs) junto ao CREA;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26245;Universidade Federal do Rio de Janeiro;153115;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;RIO DE JANEIRO;23/01/2019;;R$ 500
22019;2,31E+16;Objeto: Processo administrativo para pagamento de Taxa de Inscrição para participação na III ESCOLA DE RESSONâNCIA MAGNéTICA, no período de 02 a 09 de fevereiro de 2019, organizada pela Associação de Usuários de Ressonância Magnética Nuclear (AUREMN), em favor do servidor Gileno dos Santos de Souza lotado no Instituto de Bioquímica Médica Leopoldo de Meis/UFRJ.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26245;Universidade Federal do Rio de Janeiro;158229;INSTIT.DE BIOQUÍMICA MÉDICA LEOPOLDO DE MEIS;RIO DE JANEIRO;28/01/2019;;R$ 300
22019;2,31E+16;Objeto: Aquisicao de serviço de Analises Clinicas para o INDC;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26245;Universidade Federal do Rio de Janeiro;153148;INSTITUTO DE NEUROL. DEOLINDO COUTO DA UFRJ;RIO DE JANEIRO;07/01/2019;;R$ 7.769
22019;2,31E+16;Objeto: Intervenção emergencial para reforma e correção de infiltrações nas paredes e telhados do ginásio de reabilitação física.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26245;Universidade Federal do Rio de Janeiro;158220;HOSPITAL ESCOLA SAO FRANCISCO DE ASSIS;RIO DE JANEIRO;29/01/2019;;R$ 17.250
22019;2,31E+16;Objeto: Aquisição de material hospitalar.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26246;Universidade Federal de Santa Catarina;150232;HOSPITAL UNIVERSITáRIO - UFSC;FLORIANOPOLIS;17/01/2019;;R$ 17.000
22019;2,31E+16;Objeto: Aquisição de abafador de ar em silicone flexível, para uso em incubadora neonatal e berço aquecido FANEM, para o HU/UFSC.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26246;Universidade Federal de Santa Catarina;150232;HOSPITAL UNIVERSITáRIO - UFSC;FLORIANOPOLIS;30/01/2019;;R$ 322
22019;2,31E+16;Objeto: Desembaraço Aduaneiro de Importação para Pesquisa Científica/Tecnológica, de acordo com o contrato 145/2014 - FATEC/UFSM, para atender o Projeto de Pesquisa CTINFRA 02/2010 Consolidação da estrutura Multiusuária de Pesquisa na UFSM - Fase VI (meta Física 2 Subprojeto 1 - LMSPECTRO).;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26247;Universidade Federal de Santa Maria;153164;UNIVERSIDADE FEDERAL DE SANTA MARIA;SANTA MARIA;14/01/2019;;R$ 14.423
22019;2,31E+16;Objeto: Pregão Eletrônico -  ReGISTRO DE PREÇOS PARA CONTRATAÇÃO DE SERVIÇO DE EMISSÃO DE CERTIFICADO DIGITAL  A3, COM TOKEN PESSOA FÍSICA;Pregão - Registro de Preço;Publicado;26000;Ministério da Educação;26247;Universidade Federal de Santa Maria;153164;UNIVERSIDADE FEDERAL DE SANTA MARIA;SANTA MARIA;23/01/2019;23/01/2019; R$ -   
22019;23082.000843/2019;Objeto: Contratação de serviços continuados de fornecimento de água e esgoto para o ano de 2019 destinados à UFRPE.;Inexigibilidade de Licitação;Publicado;26000;Ministério da Educação;26248;Universidade Federal Rural de Pernambuco;153165;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RECIFE;17/01/2019;;R$ 630.000
22019;2,31E+16;Objeto: Taxa de publicação de artigo científico em periódico internacional.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26261;Universidade Federal de Itajubá;153030;UNIVERSIDADE FEDERAL DE ITAJUBA;ITAJUBA;18/01/2019;;R$ 2.732
22019;2,31E+16;Objeto: Pagamento de taxa de desconsolidação de equipamento importado.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26264;Universidade Federal Rural do Semi-Árido;153033;UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO - RN;MOSSORO;30/01/2019;;R$ 389
22019;2,31E+16;Objeto: Contratação de Empresa especializada em serviço de manutenção predial para executar serviços de manutenção com substituição de material nas edificações prediais do Hospital Veterinário do CSTR;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26252;Universidade Federal de Campina Grande;158199;CENTRO DE SAUDE E TECNOLOGIA RURAL DA UFCG;PATOS;14/01/2019;;R$ 16.000
22019;2,31E+16;Objeto: Locação de sala/auditório. campus Itaqui.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26266;Fundação Universidade Federal do Pampa;154359;FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA;BAGE;31/01/2019;;R$ 2.720
22019;2,31E+16;Objeto: Aquisição de papel para fotocopiadora.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26269;Universidade Federal do Estado do Rio de Jane;154035;HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO;RIO DE JANEIRO;03/01/2019;;R$ 11.574
22019;2,31E+16;Objeto: Inscrição da servidora Joana Fisch, CPF 006.839.420-93,  no V Simpósio de Bioterismo do Einstein   Manejo, Legislação, ética e Segurança, nos dias 21 e 22 de março de 2019 , na cidade de São Paulo - SP.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26284;Fundação Universidade Federal de Ciências da ;154032;FUND.UNIV.FED.DE.CIENC.DA SAUDE DE P.ALEGRE;PORTO ALEGRE;23/01/2019;;R$ 400
22019;2,31E+16;Objeto: Prestação de serviços médicos para atender aos beneficiários do PAS/UFMS - Corumbá.;Inexigibilidade de Licitação;Publicado;26000;Ministério da Educação;26283;Fundação Universidade Federal do Mato Grosso ;150160;PROGRAMA DE ASSISTENCIA A SAUDE DA UFMS;CAMPO GRANDE;08/01/2019;;R$ 200.000
22019;2,31E+16;Objeto: Aquisição de gêneros alimentícios provenientes da agricultura familiar.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26275;Fundação Universidade Federal do Acre;154044;FUNDACAO UNIVERSIDADE FEDERAL DO ACRE;RIO BRANCO;31/01/2019;;R$ 892.610
22019;2,31E+16;Objeto: Pagamengo de Guias de Recolhimento da União - GRU , relativa a depósito de pedido patente de invenção, junto ao INPI (Instituto Nacional de Propriedade Industrial), no valor de R$ 70,00 (setenta reais) cada, totalizando o valor de R$ 140,00, para atender as demandas do Escritório de Inovação Tecnológica - EIT da Fundação Universidade Federal de Mato Grosso - FUFMT.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26276;Fundação Universidade Federal do Mato Grosso;154045;FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO;CUIABA;18/01/2019;;R$ 140
22019;2,31E+16;Objeto: Exame paciente ADROALDO DE ALBUQUERQUE;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26443;Empresa Brasileira de Serviços Hospitalares;155019;EBSERH HUJM-UFMT;CUIABA;11/01/2019;;R$ 652
22019;2,31E+16;Objeto: Aquisição de Papel Sulfite, tamanho A4 (210 x 297 mm), ultra branco, pacote com 500 folhas cada.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26277;Universidade Federal de Ouro Preto;154046;UNIVERSIDADE FEDERAL DE OURO PRETO;OURO PRETO;28/01/2019;22/01/2019;R$ 12.823
22019;2,31E+16;Objeto: Pagamento de registro de patentes junto ao INPI.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26278;Fundação Universidade Federal de Pelotas;154047;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;PELOTAS;17/01/2019;;R$ 5.000
22019;23111067945/18-18;Objeto: Aquisição de 1(uma) peça de reposição para o microscópio acoplado ao espectrômetro Raman Senterra, fornecido exclusivamente pela empresa Bruker do Brasil LTDA, que será utilizado nos laboratórios de Física,Ciência e Engenharia dos Materiais, Farmácia e Química, bem como demais cursos da UFPI.;Inexigibilidade de Licitação;Anulação;26000;Ministério da Educação;26279;Fundação Universidade Federal do Piauí;154048;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUI;TERESINA;23/01/2019;;R$ 17.000
22019;2,31E+16;Objeto: Serviço de guarda vidas para o complexo aquático do DeEsp - de dezembro/2018 à março/2019.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26280;Fundação Universidade Federal de São Carlos;154049;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS;SAO CARLOS;15/01/2019;;R$ 16.000
22019;2312100000/2019-9;Objeto: Pagamento de despesas de ligações telefônicas efetuadas através da empresa TELEFÔNIICA.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26000;Ministério da Educação - Unidades com vínculo;152005;INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ;RIO DE JANEIRO;11/01/2019;;R$ 200
22019;2,31E+16;Objeto: Credenciamento, por valor estimado, para exercício de preceptoria dos alunos do Curso de Medicina do Campus Centro-Oeste Dona Lindu da UFSJ nos Estágios Supervisionados;Inexigibilidade de Licitação;Publicado;26000;Ministério da Educação;26285;Fundação Universidade Federal de São João Del;154069;FUNDACAO UNIVERSIDADE FEDERAL DE S.J.DEL-REI;SAO JOAO DEL REI;21/01/2019;;R$ 19.776
22019;23127000605/18-15;Objeto: Assinatura do Jornal da Manhã;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26254;Universidade Federal do Triângulo Mineiro;150221;HOSPITAL DE CLÍNICAS DA UFTM;UBERABA;18/01/2019;;R$ 420
22019;2,31E+16;Objeto: Fornecimento de Água e Tratamento de esgoto, dos imóveis ocupados pela Reitoria IFES, para o exercício de 2019.;Inexigibilidade de Licitação;Publicado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158151;INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO;VITORIA;03/01/2019;;R$ 45.000
22019;2,31E+16;Objeto: Contratação da FACTO para gerenciamento administrativo e desenvolvimento das atividades do evento VIII FOCAL(Fórum Nacional de Formação Acadêmica e Atuação Profissional do Cientista de Alimentos) e IV SICITES(Simpósio Nacional em Ciência e Tecnologia de Alimentos), a ser realizado de 21 a 24 de maio de 2019 no Campus Venda Nova do Imigrante-ES.;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158151;INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO;VITORIA;18/01/2019;;R$ 70.098
22019;2,31E+16;Objeto: Atendimento às despesas de iluminação pública e fornecimento de energia elétrica durante o exercício de 2019.;Dispensa de Licitação;Publicado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158416;INST.FED. ESPIRITO SANTO/CAMPUS VITORIA;VITORIA;21/01/2019;;R$ 1.704.000
22019;2,31E+16;Objeto: Atendimento das despesas do Campus Vitória do Ifes com serviços de 'malote diário', entrega no âmbito nacional e internacional de encomendas SEDEX e serviço de postagem por carimbagem para o exercício de 2019;Inexigibilidade de Licitação;Publicado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158416;INST.FED. ESPIRITO SANTO/CAMPUS VITORIA;VITORIA;21/01/2019;;R$ 20.000
22019;2,31E+16;Objeto: Fornecimento de energia elétrica pela EDP Espírito Santo Distribuição de Energia, no corrente exercício.;Inexigibilidade de Licitação;Publicado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158425;INST.FED. ESPIRITO SANTO/CAMPUS ALEGRE;ALEGRE;10/01/2019;;R$ 15.000
22019;2,32E+16;Objeto: Contratação da empresa Serviços Autônomo de Água e Esgoto - SAAE, visando atender as necessidades do Ifes campus Aracruz durante o exercício de 2019.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158419;INST.FED. ESPIRITO SANTO/CAMPUS ARACRUZ;ARACRUZ;11/01/2019;;R$ 17.600
22019;2,32E+16;Objeto: Atendimento das despesas com serviços de publicações oficiais do IFES - Campus Cachoeiro de Itapemirim, em favor da  Empresa Brasil de Comunicações S/A.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158418;INST.FED. ESPIRITO SANTO/CAMPUS CACHOEIRO;CACHOEIRO DE ITAPEMIRIM;17/01/2019;;R$ 1.000
22019;2,32E+15;Objeto: Inexigibilidade em favor da EBC - Empresa Brasil de Comunicações S/A;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158421;INST.FED. ESPIRITO SANTO/CAMPUS CARIACICA;CARIACICA;10/01/2019;;R$ 100
22019;2,32E+16;Objeto: Contratação de empresa para recuperação e desobstrução de galeria do Campus Cariacica;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158421;INST.FED. ESPIRITO SANTO/CAMPUS CARIACICA;CARIACICA;10/01/2019;;R$ 13.450
22019;2,32E+16;Objeto: Contratação de empresa especializada em montagem de stands para exposição de trabalhos de conclusão de curso, conforme solicitação da Diretoria de Pesquisa, Pós-graduação e Extensão, deste Campus Colatina.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158272;INST.FED. ESPIRITO SANTO/CAMPUS COLATINA;COLATINA;14/01/2019;;R$ 2.500
22019;2,32E+16;Objeto: Serviços de licenciamento, seguro DPVAT e outras taxas de regularização dos veículos oficiais deste Instituto.;Inexigibilidade de Licitação;Retificação;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158424;INST.FED. ESPIRITO SANTO/CAMPUS ITAPINA;COLATINA;29/01/2019;;R$ 9.500
22019;2,32E+16;Objeto: Contratação de empresa especializada no fornecimento de água potável para o Ifes campus Linhares no exercício de 2019.;Inexigibilidade de Licitação;Publicado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158420;INST.FED. ESPIRITO SANTO/CAMPUS LINHARES;LINHARES;18/01/2019;;R$ 1.000
22019;2,32E+16;Objeto: Inscrição dos servidores Sandra Mara Mendes da Silva Bassani, Geovani Alipio Nascimento Silva e Eloana Costa de Morais no evento de capacitação 'Ed Tech Conference 2019 - A Era da educação 3.0 chegou'.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158420;INST.FED. ESPIRITO SANTO/CAMPUS LINHARES;LINHARES;22/01/2019;;R$ 1.782
22019;2,32E+16;Objeto: Contratação de telefonia móvel correspondente ao exercício de  2019 do Ifes Campus Santa Teresa.;Inexigibilidade de Licitação;Encerrado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158426;INST.FED. ESPIRITO SANTO/CAMPUS SANTA TERESA;SANTA TERESA;15/01/2019;;R$ 1.500
22019;2,32E+16;Objeto: Aquisição de material de consumo ( herbicidas), que serão utilizados pelos setores que compõe a Coordenação de Gestão de Campo, como mecanismo indispensável para garantir a produção vegetal da instituição e suporte às aulas dos cursos técnicos e superiores do Ifes Campus Santa Teresa.;Dispensa de Licitação;Encerrado;26000;Ministério da Educação;26406;Instituto Federal do Espírito Santo;158426;INST.FED. ESPIRITO SANTO/CAMPUS SANTA TERESA;SANTA TERESA;15/01/2019;;R$ 11.261
